Thu Mar  3 03:38:13 2022 Fold 1, Epoch 19, lr: 0.0000081, train loss: 0.00692, valid loss: 1.16859, Acc: 74.9443, AUC: 0.615407.
Thu Mar  3 03:45:14 2022 Fold 1, Epoch 20, lr: 0.0000020, train loss: 0.00679, valid loss: 1.20720, Acc: 75.5902, AUC: 0.614175.
Thu Mar  3 03:52:03 2022 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.99237, valid loss: 0.50383, Acc: 81.9788, AUC: 0.586643.
Thu Mar  3 03:58:49 2022 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.93853, valid loss: 0.46167, Acc: 82.0671, AUC: 0.624408.
Thu Mar  3 04:05:48 2022 Fold 2, Epoch 3, lr: 0.0002980, train loss: 0.86287, valid loss: 0.48034, Acc: 81.2279, AUC: 0.604154.
Thu Mar  3 04:12:47 2022 Fold 2, Epoch 4, lr: 0.0002919, train loss: 0.75067, valid loss: 0.50186, Acc: 80.2120, AUC: 0.637850.
Thu Mar  3 04:19:37 2022 Fold 2, Epoch 5, lr: 0.0002819, train loss: 0.59389, valid loss: 0.58925, Acc: 79.1740, AUC: 0.601002.
Thu Mar  3 04:26:21 2022 Fold 2, Epoch 6, lr: 0.0002684, train loss: 0.44537, valid loss: 0.66777, Acc: 79.7482, AUC: 0.593678.
Thu Mar  3 04:32:54 2022 Fold 2, Epoch 7, lr: 0.0002516, train loss: 0.33101, valid loss: 0.72590, Acc: 80.6758, AUC: 0.611325.
Thu Mar  3 04:39:41 2022 Fold 2, Epoch 8, lr: 0.0002320, train loss: 0.23203, valid loss: 0.86071, Acc: 81.6034, AUC: 0.638971.
Thu Mar  3 04:46:40 2022 Fold 2, Epoch 9, lr: 0.0002103, train loss: 0.16024, valid loss: 0.91440, Acc: 81.7138, AUC: 0.631307.
Thu Mar  3 04:53:38 2022 Fold 2, Epoch 10, lr: 0.0001868, train loss: 0.11420, valid loss: 1.11381, Acc: 82.0451, AUC: 0.606289.
Thu Mar  3 05:00:36 2022 Fold 2, Epoch 11, lr: 0.0001624, train loss: 0.07783, valid loss: 1.02786, Acc: 82.0230, AUC: 0.636841.
Thu Mar  3 05:07:19 2022 Fold 2, Epoch 12, lr: 0.0001376, train loss: 0.05498, valid loss: 1.12288, Acc: 81.9567, AUC: 0.639277.
Thu Mar  3 05:14:07 2022 Fold 2, Epoch 13, lr: 0.0001132, train loss: 0.03767, valid loss: 1.23092, Acc: 82.2438, AUC: 0.636583.
Thu Mar  3 05:21:06 2022 Fold 2, Epoch 14, lr: 0.0000897, train loss: 0.02811, valid loss: 1.27613, Acc: 81.8684, AUC: 0.632853.
Thu Mar  3 05:27:57 2022 Fold 2, Epoch 15, lr: 0.0000680, train loss: 0.01760, valid loss: 1.17933, Acc: 81.6917, AUC: 0.624382.
Thu Mar  3 05:34:48 2022 Fold 2, Epoch 16, lr: 0.0000484, train loss: 0.01276, valid loss: 1.29367, Acc: 82.1334, AUC: 0.629281.
Thu Mar  3 05:41:29 2022 Fold 2, Epoch 17, lr: 0.0000316, train loss: 0.01044, valid loss: 1.17545, Acc: 81.4267, AUC: 0.624601.
Thu Mar  3 05:48:11 2022 Fold 2, Epoch 18, lr: 0.0000181, train loss: 0.00832, valid loss: 1.18828, Acc: 81.1396, AUC: 0.623203.
Thu Mar  3 05:55:10 2022 Fold 2, Epoch 19, lr: 0.0000081, train loss: 0.00801, valid loss: 1.19161, Acc: 81.2279, AUC: 0.622196.
Thu Mar  3 06:02:07 2022 Fold 2, Epoch 20, lr: 0.0000020, train loss: 0.00828, valid loss: 1.10387, Acc: 80.7420, AUC: 0.625547.
Thu Mar  3 06:09:09 2022 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.99060, valid loss: 0.52084, Acc: 82.0101, AUC: 0.573037.
Thu Mar  3 06:16:07 2022 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.93261, valid loss: 0.50934, Acc: 78.9751, AUC: 0.603878.
Thu Mar  3 06:22:37 2022 Fold 3, Epoch 3, lr: 0.0002980, train loss: 0.85924, valid loss: 0.52203, Acc: 77.0398, AUC: 0.585740.
Thu Mar  3 06:29:29 2022 Fold 3, Epoch 4, lr: 0.0002919, train loss: 0.74944, valid loss: 0.50651, Acc: 79.4810, AUC: 0.640642.
Thu Mar  3 06:36:28 2022 Fold 3, Epoch 5, lr: 0.0002819, train loss: 0.59892, valid loss: 0.62912, Acc: 75.4783, AUC: 0.598580.
Thu Mar  3 06:43:19 2022 Fold 3, Epoch 6, lr: 0.0002684, train loss: 0.45063, valid loss: 0.77765, Acc: 75.6543, AUC: 0.604666.
Thu Mar  3 06:50:07 2022 Fold 3, Epoch 7, lr: 0.0002516, train loss: 0.33134, valid loss: 0.72463, Acc: 77.8095, AUC: 0.599215.
Thu Mar  3 06:56:54 2022 Fold 3, Epoch 8, lr: 0.0002320, train loss: 0.23238, valid loss: 0.82742, Acc: 80.0528, AUC: 0.621368.
Thu Mar  3 07:03:40 2022 Fold 3, Epoch 9, lr: 0.0002103, train loss: 0.16249, valid loss: 0.79415, Acc: 78.7332, AUC: 0.612701.
Thu Mar  3 07:10:36 2022 Fold 3, Epoch 10, lr: 0.0001868, train loss: 0.11342, valid loss: 1.01811, Acc: 80.0968, AUC: 0.600132.
Thu Mar  3 07:17:33 2022 Fold 3, Epoch 11, lr: 0.0001624, train loss: 0.07885, valid loss: 0.94264, Acc: 78.4253, AUC: 0.605099.
Thu Mar  3 07:24:37 2022 Fold 3, Epoch 12, lr: 0.0001376, train loss: 0.05638, valid loss: 0.95519, Acc: 78.4253, AUC: 0.615501.
Thu Mar  3 07:31:30 2022 Fold 3, Epoch 13, lr: 0.0001132, train loss: 0.03424, valid loss: 1.06514, Acc: 79.8988, AUC: 0.624114.
Thu Mar  3 07:38:07 2022 Fold 3, Epoch 14, lr: 0.0000897, train loss: 0.02339, valid loss: 1.01722, Acc: 77.5676, AUC: 0.627845.
Thu Mar  3 07:45:10 2022 Fold 3, Epoch 15, lr: 0.0000680, train loss: 0.01765, valid loss: 1.06136, Acc: 78.6233, AUC: 0.634329.
Thu Mar  3 07:52:10 2022 Fold 3, Epoch 16, lr: 0.0000484, train loss: 0.01166, valid loss: 1.11519, Acc: 79.7009, AUC: 0.638180.
Thu Mar  3 07:59:02 2022 Fold 3, Epoch 17, lr: 0.0000316, train loss: 0.00988, valid loss: 1.13148, Acc: 78.7112, AUC: 0.632677.
Thu Mar  3 08:06:01 2022 Fold 3, Epoch 18, lr: 0.0000181, train loss: 0.00864, valid loss: 1.08904, Acc: 78.7992, AUC: 0.634875.
Thu Mar  3 08:12:47 2022 Fold 3, Epoch 19, lr: 0.0000081, train loss: 0.00809, valid loss: 1.10234, Acc: 78.4913, AUC: 0.634945.
Thu Mar  3 08:19:45 2022 Fold 3, Epoch 20, lr: 0.0000020, train loss: 0.00637, valid loss: 1.14024, Acc: 79.1951, AUC: 0.632482.
