Tue May 17 09:59:57 2022 Fold 1, Epoch 20, lr: 0.0000020, train loss: 0.00788, valid loss: 0.95842, Acc: 80.4314, AUC: 0.666416.
Tue May 17 10:09:25 2022 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.57734, valid loss: 0.66606, Acc: 61.5741, AUC: 0.555407.
Tue May 17 10:18:35 2022 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.45515, valid loss: 0.45021, Acc: 82.7160, AUC: 0.703498.
Tue May 17 10:28:00 2022 Fold 2, Epoch 3, lr: 0.0002980, train loss: 0.40164, valid loss: 0.51367, Acc: 79.3210, AUC: 0.604495.
Tue May 17 10:37:07 2022 Fold 2, Epoch 4, lr: 0.0002919, train loss: 0.33810, valid loss: 0.62299, Acc: 82.8704, AUC: 0.626664.
Tue May 17 10:46:09 2022 Fold 2, Epoch 5, lr: 0.0002819, train loss: 0.28051, valid loss: 0.55555, Acc: 81.0185, AUC: 0.605661.
Tue May 17 10:55:22 2022 Fold 2, Epoch 6, lr: 0.0002684, train loss: 0.23086, valid loss: 0.64701, Acc: 82.0988, AUC: 0.618216.
Tue May 17 11:04:15 2022 Fold 2, Epoch 7, lr: 0.0002516, train loss: 0.19513, valid loss: 0.60540, Acc: 79.1667, AUC: 0.674096.
Tue May 17 11:13:38 2022 Fold 2, Epoch 8, lr: 0.0002320, train loss: 0.12960, valid loss: 0.78170, Acc: 82.5617, AUC: 0.684572.
Tue May 17 11:22:43 2022 Fold 2, Epoch 9, lr: 0.0002103, train loss: 0.11621, valid loss: 0.76700, Acc: 81.3272, AUC: 0.681801.
Tue May 17 11:31:40 2022 Fold 2, Epoch 10, lr: 0.0001868, train loss: 0.07164, valid loss: 0.63146, Acc: 78.2407, AUC: 0.704123.
Tue May 17 11:40:54 2022 Fold 2, Epoch 11, lr: 0.0001624, train loss: 0.03723, valid loss: 0.73157, Acc: 76.0802, AUC: 0.678794.
Tue May 17 11:50:02 2022 Fold 2, Epoch 12, lr: 0.0001376, train loss: 0.03716, valid loss: 0.79203, Acc: 80.4012, AUC: 0.687851.
Tue May 17 11:59:05 2022 Fold 2, Epoch 13, lr: 0.0001132, train loss: 0.02483, valid loss: 0.78074, Acc: 78.8580, AUC: 0.693579.
Tue May 17 12:08:19 2022 Fold 2, Epoch 14, lr: 0.0000897, train loss: 0.02571, valid loss: 0.87731, Acc: 80.2469, AUC: 0.685722.
Tue May 17 12:17:18 2022 Fold 2, Epoch 15, lr: 0.0000680, train loss: 0.03508, valid loss: 0.92603, Acc: 80.4012, AUC: 0.686195.
Tue May 17 12:26:17 2022 Fold 2, Epoch 16, lr: 0.0000484, train loss: 0.03298, valid loss: 0.93283, Acc: 79.9383, AUC: 0.682900.
Tue May 17 12:35:21 2022 Fold 2, Epoch 17, lr: 0.0000316, train loss: 0.01177, valid loss: 0.93546, Acc: 81.3272, AUC: 0.673521.
Tue May 17 12:44:13 2022 Fold 2, Epoch 18, lr: 0.0000181, train loss: 0.01661, valid loss: 0.94489, Acc: 81.4815, AUC: 0.677797.
Tue May 17 12:53:43 2022 Fold 2, Epoch 19, lr: 0.0000081, train loss: 0.01518, valid loss: 0.99103, Acc: 81.0185, AUC: 0.678439.
Tue May 17 13:02:56 2022 Fold 2, Epoch 20, lr: 0.0000020, train loss: 0.01506, valid loss: 0.96505, Acc: 81.0185, AUC: 0.680703.
Tue May 17 13:12:01 2022 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.58888, valid loss: 0.69464, Acc: 49.5370, AUC: 0.514245.
