Thu May 12 20:45:14 2022 Fold 1, Epoch 20, lr: 0.0000020, train loss: 0.00533, valid loss: 1.79684, Acc: 62.7533, AUC: 0.771048.
Thu May 12 20:51:09 2022 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.66542, valid loss: 0.67229, Acc: 62.3932, AUC: 0.680958.
Thu May 12 20:57:02 2022 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.54492, valid loss: 0.81067, Acc: 54.2735, AUC: 0.768538.
Thu May 12 21:02:54 2022 Fold 2, Epoch 3, lr: 0.0002980, train loss: 0.44447, valid loss: 0.86450, Acc: 52.0757, AUC: 0.791302.
Thu May 12 21:08:47 2022 Fold 2, Epoch 4, lr: 0.0002919, train loss: 0.36469, valid loss: 1.60887, Acc: 51.8315, AUC: 0.765836.
Thu May 12 21:14:40 2022 Fold 2, Epoch 5, lr: 0.0002819, train loss: 0.30706, valid loss: 1.41036, Acc: 50.0000, AUC: 0.728188.
Thu May 12 21:20:32 2022 Fold 2, Epoch 6, lr: 0.0002684, train loss: 0.25469, valid loss: 1.56632, Acc: 53.1746, AUC: 0.794830.
Thu May 12 21:26:24 2022 Fold 2, Epoch 7, lr: 0.0002516, train loss: 0.18703, valid loss: 1.12628, Acc: 59.4017, AUC: 0.793707.
Thu May 12 21:32:18 2022 Fold 2, Epoch 8, lr: 0.0002320, train loss: 0.14018, valid loss: 1.55476, Acc: 52.5031, AUC: 0.760046.
Thu May 12 21:38:12 2022 Fold 2, Epoch 9, lr: 0.0002103, train loss: 0.11005, valid loss: 2.15196, Acc: 50.4884, AUC: 0.767418.
Thu May 12 21:44:05 2022 Fold 2, Epoch 10, lr: 0.0001868, train loss: 0.06324, valid loss: 1.98837, Acc: 53.1136, AUC: 0.800808.
Thu May 12 21:49:58 2022 Fold 2, Epoch 11, lr: 0.0001624, train loss: 0.04696, valid loss: 2.03863, Acc: 52.7473, AUC: 0.768398.
Thu May 12 21:55:52 2022 Fold 2, Epoch 12, lr: 0.0001376, train loss: 0.03072, valid loss: 3.16349, Acc: 52.3199, AUC: 0.768902.
Thu May 12 22:01:45 2022 Fold 2, Epoch 13, lr: 0.0001132, train loss: 0.02336, valid loss: 2.38040, Acc: 57.7534, AUC: 0.786834.
Thu May 12 22:07:38 2022 Fold 2, Epoch 14, lr: 0.0000897, train loss: 0.01552, valid loss: 2.45056, Acc: 53.6020, AUC: 0.790688.
Thu May 12 22:13:30 2022 Fold 2, Epoch 15, lr: 0.0000680, train loss: 0.00797, valid loss: 2.60590, Acc: 53.8462, AUC: 0.784097.
Thu May 12 22:19:24 2022 Fold 2, Epoch 16, lr: 0.0000484, train loss: 0.00763, valid loss: 2.65236, Acc: 55.3724, AUC: 0.788422.
Thu May 12 22:25:18 2022 Fold 2, Epoch 17, lr: 0.0000316, train loss: 0.00488, valid loss: 2.07684, Acc: 59.2796, AUC: 0.796400.
Thu May 12 22:31:12 2022 Fold 2, Epoch 18, lr: 0.0000181, train loss: 0.00407, valid loss: 2.38641, Acc: 56.2882, AUC: 0.792637.
Thu May 12 22:37:06 2022 Fold 2, Epoch 19, lr: 0.0000081, train loss: 0.00257, valid loss: 2.23222, Acc: 56.4713, AUC: 0.794430.
Thu May 12 22:43:00 2022 Fold 2, Epoch 20, lr: 0.0000020, train loss: 0.00303, valid loss: 2.30863, Acc: 58.6691, AUC: 0.792580.
Thu May 12 22:48:54 2022 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.66080, valid loss: 0.66953, Acc: 61.4869, AUC: 0.668360.
Thu May 12 22:54:46 2022 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.54985, valid loss: 0.70897, Acc: 53.5649, AUC: 0.749509.
Thu May 12 23:00:40 2022 Fold 3, Epoch 3, lr: 0.0002980, train loss: 0.43693, valid loss: 0.72646, Acc: 55.6977, AUC: 0.735533.
Thu May 12 23:06:35 2022 Fold 3, Epoch 4, lr: 0.0002919, train loss: 0.39554, valid loss: 0.82452, Acc: 54.2352, AUC: 0.765768.
Thu May 12 23:12:29 2022 Fold 3, Epoch 5, lr: 0.0002819, train loss: 0.31804, valid loss: 1.04871, Acc: 50.5789, AUC: 0.638889.
Thu May 12 23:18:22 2022 Fold 3, Epoch 6, lr: 0.0002684, train loss: 0.26410, valid loss: 1.59268, Acc: 51.3102, AUC: 0.740020.
Thu May 12 23:24:26 2022 Fold 3, Epoch 7, lr: 0.0002516, train loss: 0.24006, valid loss: 1.06002, Acc: 54.2352, AUC: 0.709806.
Thu May 12 23:30:30 2022 Fold 3, Epoch 8, lr: 0.0002320, train loss: 0.15600, valid loss: 1.66360, Acc: 53.6258, AUC: 0.758355.
Thu May 12 23:36:33 2022 Fold 3, Epoch 9, lr: 0.0002103, train loss: 0.11445, valid loss: 1.56543, Acc: 56.0024, AUC: 0.755861.
Thu May 12 23:42:36 2022 Fold 3, Epoch 10, lr: 0.0001868, train loss: 0.09058, valid loss: 1.40841, Acc: 57.6478, AUC: 0.758607.
Thu May 12 23:48:38 2022 Fold 3, Epoch 11, lr: 0.0001624, train loss: 0.06444, valid loss: 2.61739, Acc: 51.3102, AUC: 0.721733.
Thu May 12 23:54:40 2022 Fold 3, Epoch 12, lr: 0.0001376, train loss: 0.05320, valid loss: 2.56460, Acc: 51.6758, AUC: 0.707748.
Fri May 13 00:00:41 2022 Fold 3, Epoch 13, lr: 0.0001132, train loss: 0.03629, valid loss: 2.49361, Acc: 53.5040, AUC: 0.713694.
Fri May 13 00:06:43 2022 Fold 3, Epoch 14, lr: 0.0000897, train loss: 0.02565, valid loss: 1.96562, Acc: 55.8806, AUC: 0.750178.
Fri May 13 00:12:46 2022 Fold 3, Epoch 15, lr: 0.0000680, train loss: 0.01080, valid loss: 2.70993, Acc: 51.5539, AUC: 0.745237.
Fri May 13 00:18:48 2022 Fold 3, Epoch 16, lr: 0.0000484, train loss: 0.00848, valid loss: 2.30816, Acc: 53.9305, AUC: 0.748083.
Fri May 13 00:24:51 2022 Fold 3, Epoch 17, lr: 0.0000316, train loss: 0.00678, valid loss: 2.95794, Acc: 51.6149, AUC: 0.749249.
Fri May 13 00:30:53 2022 Fold 3, Epoch 18, lr: 0.0000181, train loss: 0.00583, valid loss: 2.86050, Acc: 51.9805, AUC: 0.748024.
Fri May 13 00:36:56 2022 Fold 3, Epoch 19, lr: 0.0000081, train loss: 0.00433, valid loss: 3.06434, Acc: 51.6149, AUC: 0.746024.
Fri May 13 00:42:58 2022 Fold 3, Epoch 20, lr: 0.0000020, train loss: 0.00374, valid loss: 2.95815, Acc: 51.7367, AUC: 0.737432.
