Tue Mar 15 20:27:34 2022 Fold 1, Epoch 19, lr: 0.0000081, train loss: 0.00264, valid loss: 1.13093, Acc: 80.1102, AUC: 0.623277.
Tue Mar 15 20:33:55 2022 Fold 1, Epoch 20, lr: 0.0000020, train loss: 0.00176, valid loss: 1.17216, Acc: 80.5281, AUC: 0.627243.
Tue Mar 15 20:40:22 2022 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.49261, valid loss: 0.47606, Acc: 83.4656, AUC: 0.589492.
Tue Mar 15 20:46:43 2022 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.46723, valid loss: 0.45305, Acc: 83.5223, AUC: 0.593714.
Tue Mar 15 20:53:06 2022 Fold 2, Epoch 3, lr: 0.0002980, train loss: 0.41364, valid loss: 0.44738, Acc: 83.5412, AUC: 0.595082.
Tue Mar 15 20:59:31 2022 Fold 2, Epoch 4, lr: 0.0002919, train loss: 0.35232, valid loss: 0.46623, Acc: 81.1791, AUC: 0.607481.
Tue Mar 15 21:05:51 2022 Fold 2, Epoch 5, lr: 0.0002819, train loss: 0.29279, valid loss: 0.52911, Acc: 81.3681, AUC: 0.589832.
Tue Mar 15 21:12:25 2022 Fold 2, Epoch 6, lr: 0.0002684, train loss: 0.23738, valid loss: 0.54384, Acc: 81.0280, AUC: 0.596420.
Tue Mar 15 21:18:57 2022 Fold 2, Epoch 7, lr: 0.0002516, train loss: 0.19932, valid loss: 0.59892, Acc: 79.4407, AUC: 0.590357.
Tue Mar 15 21:25:44 2022 Fold 2, Epoch 8, lr: 0.0002320, train loss: 0.15227, valid loss: 0.61623, Acc: 81.7838, AUC: 0.594792.
Tue Mar 15 21:32:12 2022 Fold 2, Epoch 9, lr: 0.0002103, train loss: 0.11961, valid loss: 0.64303, Acc: 81.2547, AUC: 0.622817.
Tue Mar 15 21:39:05 2022 Fold 2, Epoch 10, lr: 0.0001868, train loss: 0.09173, valid loss: 0.85686, Acc: 80.8012, AUC: 0.594884.
Tue Mar 15 21:46:08 2022 Fold 2, Epoch 11, lr: 0.0001624, train loss: 0.07612, valid loss: 0.90867, Acc: 80.2154, AUC: 0.603104.
Tue Mar 15 21:52:59 2022 Fold 2, Epoch 12, lr: 0.0001376, train loss: 0.05487, valid loss: 0.85250, Acc: 82.2373, AUC: 0.620545.
Tue Mar 15 22:00:06 2022 Fold 2, Epoch 13, lr: 0.0001132, train loss: 0.03877, valid loss: 0.97763, Acc: 81.0658, AUC: 0.610243.
Tue Mar 15 22:07:07 2022 Fold 2, Epoch 14, lr: 0.0000897, train loss: 0.02865, valid loss: 1.05754, Acc: 81.9161, AUC: 0.607363.
Tue Mar 15 22:14:08 2022 Fold 2, Epoch 15, lr: 0.0000680, train loss: 0.01570, valid loss: 1.00456, Acc: 81.1980, AUC: 0.619728.
Tue Mar 15 22:21:06 2022 Fold 2, Epoch 16, lr: 0.0000484, train loss: 0.00922, valid loss: 1.11694, Acc: 82.3696, AUC: 0.619731.
Tue Mar 15 22:28:13 2022 Fold 2, Epoch 17, lr: 0.0000316, train loss: 0.00564, valid loss: 1.10495, Acc: 82.1995, AUC: 0.621890.
Tue Mar 15 22:35:06 2022 Fold 2, Epoch 18, lr: 0.0000181, train loss: 0.00468, valid loss: 1.09548, Acc: 81.8405, AUC: 0.620116.
Tue Mar 15 22:42:06 2022 Fold 2, Epoch 19, lr: 0.0000081, train loss: 0.00271, valid loss: 1.11188, Acc: 81.7460, AUC: 0.621764.
Tue Mar 15 22:49:16 2022 Fold 2, Epoch 20, lr: 0.0000020, train loss: 0.00239, valid loss: 1.12482, Acc: 81.9917, AUC: 0.623191.
Tue Mar 15 22:56:01 2022 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.48402, valid loss: 0.49883, Acc: 80.6715, AUC: 0.561468.
Tue Mar 15 23:02:28 2022 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.45217, valid loss: 0.49160, Acc: 80.9560, AUC: 0.633536.
Tue Mar 15 23:08:56 2022 Fold 3, Epoch 3, lr: 0.0002980, train loss: 0.40364, valid loss: 0.49224, Acc: 80.7473, AUC: 0.609343.
Tue Mar 15 23:15:23 2022 Fold 3, Epoch 4, lr: 0.0002919, train loss: 0.35083, valid loss: 0.53194, Acc: 79.3058, AUC: 0.586891.
Tue Mar 15 23:22:00 2022 Fold 3, Epoch 5, lr: 0.0002819, train loss: 0.29427, valid loss: 0.61651, Acc: 80.6525, AUC: 0.599972.
Tue Mar 15 23:28:53 2022 Fold 3, Epoch 6, lr: 0.0002684, train loss: 0.24053, valid loss: 0.61157, Acc: 80.3300, AUC: 0.620756.
Tue Mar 15 23:36:03 2022 Fold 3, Epoch 7, lr: 0.0002516, train loss: 0.19053, valid loss: 0.73494, Acc: 79.8938, AUC: 0.588686.
Tue Mar 15 23:42:55 2022 Fold 3, Epoch 8, lr: 0.0002320, train loss: 0.15571, valid loss: 0.67683, Acc: 79.4385, AUC: 0.590713.
Tue Mar 15 23:49:50 2022 Fold 3, Epoch 9, lr: 0.0002103, train loss: 0.12259, valid loss: 0.99259, Acc: 80.4249, AUC: 0.584305.
Tue Mar 15 23:56:50 2022 Fold 3, Epoch 10, lr: 0.0001868, train loss: 0.09281, valid loss: 0.83660, Acc: 79.2299, AUC: 0.600281.
Wed Mar 16 00:03:43 2022 Fold 3, Epoch 11, lr: 0.0001624, train loss: 0.07282, valid loss: 0.75391, Acc: 77.5797, AUC: 0.602362.
Wed Mar 16 00:10:39 2022 Fold 3, Epoch 12, lr: 0.0001376, train loss: 0.05514, valid loss: 1.12336, Acc: 78.6798, AUC: 0.592102.
Wed Mar 16 00:17:39 2022 Fold 3, Epoch 13, lr: 0.0001132, train loss: 0.03805, valid loss: 0.89693, Acc: 78.1108, AUC: 0.614114.
Wed Mar 16 00:24:30 2022 Fold 3, Epoch 14, lr: 0.0000897, train loss: 0.02340, valid loss: 1.09532, Acc: 78.9264, AUC: 0.611319.
Wed Mar 16 00:31:35 2022 Fold 3, Epoch 15, lr: 0.0000680, train loss: 0.01616, valid loss: 1.15283, Acc: 78.9264, AUC: 0.609125.
Wed Mar 16 00:38:31 2022 Fold 3, Epoch 16, lr: 0.0000484, train loss: 0.00996, valid loss: 1.04920, Acc: 78.0349, AUC: 0.609327.
Wed Mar 16 00:44:59 2022 Fold 3, Epoch 17, lr: 0.0000316, train loss: 0.00646, valid loss: 1.13070, Acc: 77.0675, AUC: 0.616249.
Wed Mar 16 00:51:23 2022 Fold 3, Epoch 18, lr: 0.0000181, train loss: 0.00502, valid loss: 1.13701, Acc: 78.0539, AUC: 0.612999.
Wed Mar 16 00:57:45 2022 Fold 3, Epoch 19, lr: 0.0000081, train loss: 0.00392, valid loss: 1.20611, Acc: 78.3763, AUC: 0.613011.
Wed Mar 16 01:04:09 2022 Fold 3, Epoch 20, lr: 0.0000020, train loss: 0.00375, valid loss: 1.16740, Acc: 78.3194, AUC: 0.617539.
