Tue Feb 15 17:44:23 2022 Fold 1, Epoch 19, lr: 0.0000081, train loss: 0.00160, valid loss: 1.17052, Acc: 76.3697, AUC: 0.627630.
Tue Feb 15 17:51:26 2022 Fold 1, Epoch 20, lr: 0.0000020, train loss: 0.00172, valid loss: 1.26445, Acc: 77.6169, AUC: 0.627963.
Tue Feb 15 17:57:28 2022 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.51019, valid loss: 0.51294, Acc: 81.8905, AUC: 0.568333.
Tue Feb 15 18:04:26 2022 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.45696, valid loss: 0.46979, Acc: 81.9788, AUC: 0.610339.
Tue Feb 15 18:10:18 2022 Fold 2, Epoch 3, lr: 0.0002980, train loss: 0.39665, valid loss: 0.48894, Acc: 80.1458, AUC: 0.612966.
Tue Feb 15 18:17:16 2022 Fold 2, Epoch 4, lr: 0.0002919, train loss: 0.31522, valid loss: 0.54771, Acc: 81.3383, AUC: 0.590795.
Tue Feb 15 18:23:32 2022 Fold 2, Epoch 5, lr: 0.0002819, train loss: 0.23565, valid loss: 0.61857, Acc: 79.8587, AUC: 0.593284.
Tue Feb 15 18:29:45 2022 Fold 2, Epoch 6, lr: 0.0002684, train loss: 0.18105, valid loss: 0.91388, Acc: 68.6175, AUC: 0.615229.
Tue Feb 15 18:36:38 2022 Fold 2, Epoch 7, lr: 0.0002516, train loss: 0.11845, valid loss: 0.85561, Acc: 71.3339, AUC: 0.597783.
Tue Feb 15 18:42:48 2022 Fold 2, Epoch 8, lr: 0.0002320, train loss: 0.09310, valid loss: 0.83531, Acc: 78.2686, AUC: 0.612164.
Tue Feb 15 18:49:45 2022 Fold 2, Epoch 9, lr: 0.0002103, train loss: 0.05160, valid loss: 0.85562, Acc: 76.7668, AUC: 0.620209.
Tue Feb 15 18:55:43 2022 Fold 2, Epoch 10, lr: 0.0001868, train loss: 0.04086, valid loss: 0.95615, Acc: 76.0601, AUC: 0.625899.
Tue Feb 15 19:02:30 2022 Fold 2, Epoch 11, lr: 0.0001624, train loss: 0.02692, valid loss: 1.07315, Acc: 75.0221, AUC: 0.610953.
Tue Feb 15 19:08:59 2022 Fold 2, Epoch 12, lr: 0.0001376, train loss: 0.01453, valid loss: 0.94251, Acc: 79.9691, AUC: 0.625599.
Tue Feb 15 19:15:13 2022 Fold 2, Epoch 13, lr: 0.0001132, train loss: 0.00783, valid loss: 1.05898, Acc: 79.4390, AUC: 0.620653.
Tue Feb 15 19:22:08 2022 Fold 2, Epoch 14, lr: 0.0000897, train loss: 0.00614, valid loss: 1.06864, Acc: 78.1581, AUC: 0.630568.
Tue Feb 15 19:28:15 2022 Fold 2, Epoch 15, lr: 0.0000680, train loss: 0.00326, valid loss: 1.10101, Acc: 76.2367, AUC: 0.624977.
Tue Feb 15 19:35:14 2022 Fold 2, Epoch 16, lr: 0.0000484, train loss: 0.00296, valid loss: 1.09254, Acc: 79.7924, AUC: 0.626123.
Tue Feb 15 19:41:07 2022 Fold 2, Epoch 17, lr: 0.0000316, train loss: 0.00250, valid loss: 1.14068, Acc: 79.6378, AUC: 0.626436.
Tue Feb 15 19:48:01 2022 Fold 2, Epoch 18, lr: 0.0000181, train loss: 0.00105, valid loss: 1.16919, Acc: 80.3004, AUC: 0.625476.
Tue Feb 15 19:54:13 2022 Fold 2, Epoch 19, lr: 0.0000081, train loss: 0.00120, valid loss: 1.12244, Acc: 79.7703, AUC: 0.631908.
Tue Feb 15 20:00:31 2022 Fold 2, Epoch 20, lr: 0.0000020, train loss: 0.00118, valid loss: 1.14162, Acc: 79.4832, AUC: 0.629110.
Tue Feb 15 20:07:30 2022 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.51587, valid loss: 0.48633, Acc: 82.3840, AUC: 0.580932.
Tue Feb 15 20:13:43 2022 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.45558, valid loss: 0.46409, Acc: 82.3620, AUC: 0.611420.
Tue Feb 15 20:21:14 2022 Fold 3, Epoch 3, lr: 0.0002980, train loss: 0.39481, valid loss: 0.49431, Acc: 81.9002, AUC: 0.584558.
Tue Feb 15 20:27:27 2022 Fold 3, Epoch 4, lr: 0.0002919, train loss: 0.32478, valid loss: 0.51480, Acc: 78.9312, AUC: 0.628492.
Tue Feb 15 20:34:50 2022 Fold 3, Epoch 5, lr: 0.0002819, train loss: 0.23948, valid loss: 0.60205, Acc: 81.1964, AUC: 0.605157.
Tue Feb 15 20:41:38 2022 Fold 3, Epoch 6, lr: 0.0002684, train loss: 0.17837, valid loss: 0.72697, Acc: 79.1511, AUC: 0.608584.
Tue Feb 15 20:48:40 2022 Fold 3, Epoch 7, lr: 0.0002516, train loss: 0.12255, valid loss: 0.78565, Acc: 75.2364, AUC: 0.610451.
Tue Feb 15 20:56:20 2022 Fold 3, Epoch 8, lr: 0.0002320, train loss: 0.09016, valid loss: 0.76289, Acc: 80.0088, AUC: 0.613493.
Tue Feb 15 21:03:03 2022 Fold 3, Epoch 9, lr: 0.0002103, train loss: 0.06262, valid loss: 1.08201, Acc: 81.8562, AUC: 0.603089.
Tue Feb 15 21:10:52 2022 Fold 3, Epoch 10, lr: 0.0001868, train loss: 0.03908, valid loss: 0.86170, Acc: 80.2947, AUC: 0.628341.
Tue Feb 15 21:17:27 2022 Fold 3, Epoch 11, lr: 0.0001624, train loss: 0.02689, valid loss: 0.91411, Acc: 75.6323, AUC: 0.630595.
Tue Feb 15 21:25:25 2022 Fold 3, Epoch 12, lr: 0.0001376, train loss: 0.02489, valid loss: 0.88870, Acc: 80.5806, AUC: 0.619020.
Tue Feb 15 21:32:26 2022 Fold 3, Epoch 13, lr: 0.0001132, train loss: 0.01083, valid loss: 0.99855, Acc: 78.1174, AUC: 0.612815.
Tue Feb 15 21:39:51 2022 Fold 3, Epoch 14, lr: 0.0000897, train loss: 0.00699, valid loss: 0.99301, Acc: 79.8329, AUC: 0.625161.
Tue Feb 15 21:47:12 2022 Fold 3, Epoch 15, lr: 0.0000680, train loss: 0.00658, valid loss: 1.00378, Acc: 81.0205, AUC: 0.622455.
Tue Feb 15 21:53:53 2022 Fold 3, Epoch 16, lr: 0.0000484, train loss: 0.00294, valid loss: 1.03071, Acc: 79.5909, AUC: 0.620059.
Tue Feb 15 22:01:22 2022 Fold 3, Epoch 17, lr: 0.0000316, train loss: 0.00273, valid loss: 1.05644, Acc: 81.0864, AUC: 0.624361.
Tue Feb 15 22:07:57 2022 Fold 3, Epoch 18, lr: 0.0000181, train loss: 0.00408, valid loss: 0.99371, Acc: 80.5586, AUC: 0.624997.
Tue Feb 15 22:15:48 2022 Fold 3, Epoch 19, lr: 0.0000081, train loss: 0.00126, valid loss: 0.99706, Acc: 80.0088, AUC: 0.622395.
Tue Feb 15 22:22:26 2022 Fold 3, Epoch 20, lr: 0.0000020, train loss: 0.00141, valid loss: 0.99770, Acc: 79.9648, AUC: 0.621602.
