Tue Mar  1 22:01:12 2022 Fold 1, Epoch 19, lr: 0.0000081, train loss: 0.00151, valid loss: 1.14466, Acc: 75.8797, AUC: 0.633139.
Tue Mar  1 22:08:50 2022 Fold 1, Epoch 20, lr: 0.0000020, train loss: 0.00119, valid loss: 1.14025, Acc: 76.0802, AUC: 0.632939.
Tue Mar  1 22:16:22 2022 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.41429, valid loss: 0.51377, Acc: 79.5495, AUC: 0.568089.
Tue Mar  1 22:23:45 2022 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.27073, valid loss: 0.46366, Acc: 82.0451, AUC: 0.623808.
Tue Mar  1 22:30:57 2022 Fold 2, Epoch 3, lr: 0.0002980, train loss: 0.22860, valid loss: 0.45963, Acc: 82.1555, AUC: 0.665044.
Tue Mar  1 22:38:30 2022 Fold 2, Epoch 4, lr: 0.0002919, train loss: 0.18729, valid loss: 0.51317, Acc: 80.7862, AUC: 0.658881.
Tue Mar  1 22:46:13 2022 Fold 2, Epoch 5, lr: 0.0002819, train loss: 0.15092, valid loss: 0.54940, Acc: 80.7420, AUC: 0.631448.
Tue Mar  1 22:53:29 2022 Fold 2, Epoch 6, lr: 0.0002684, train loss: 0.11086, valid loss: 0.70246, Acc: 73.2553, AUC: 0.634552.
Tue Mar  1 23:00:02 2022 Fold 2, Epoch 7, lr: 0.0002516, train loss: 0.08112, valid loss: 0.69578, Acc: 76.5459, AUC: 0.643514.
Tue Mar  1 23:06:34 2022 Fold 2, Epoch 8, lr: 0.0002320, train loss: 0.05773, valid loss: 0.73861, Acc: 76.5680, AUC: 0.650874.
Tue Mar  1 23:13:18 2022 Fold 2, Epoch 9, lr: 0.0002103, train loss: 0.04247, valid loss: 0.81438, Acc: 80.0795, AUC: 0.635503.
Tue Mar  1 23:20:01 2022 Fold 2, Epoch 10, lr: 0.0001868, train loss: 0.02990, valid loss: 0.84881, Acc: 80.8083, AUC: 0.665922.
Tue Mar  1 23:26:45 2022 Fold 2, Epoch 11, lr: 0.0001624, train loss: 0.02335, valid loss: 1.01362, Acc: 78.0477, AUC: 0.646928.
Tue Mar  1 23:33:27 2022 Fold 2, Epoch 12, lr: 0.0001376, train loss: 0.01212, valid loss: 1.10786, Acc: 80.3887, AUC: 0.656282.
Tue Mar  1 23:40:21 2022 Fold 2, Epoch 13, lr: 0.0001132, train loss: 0.01001, valid loss: 0.92883, Acc: 78.4894, AUC: 0.660469.
Tue Mar  1 23:47:01 2022 Fold 2, Epoch 14, lr: 0.0000897, train loss: 0.00753, valid loss: 0.96813, Acc: 79.5716, AUC: 0.664649.
Tue Mar  1 23:53:57 2022 Fold 2, Epoch 15, lr: 0.0000680, train loss: 0.00336, valid loss: 1.04308, Acc: 79.9912, AUC: 0.660941.
Wed Mar  2 00:01:00 2022 Fold 2, Epoch 16, lr: 0.0000484, train loss: 0.00287, valid loss: 0.98259, Acc: 79.6157, AUC: 0.669949.
Wed Mar  2 00:07:57 2022 Fold 2, Epoch 17, lr: 0.0000316, train loss: 0.00267, valid loss: 1.02702, Acc: 79.2624, AUC: 0.665058.
Wed Mar  2 00:14:40 2022 Fold 2, Epoch 18, lr: 0.0000181, train loss: 0.00150, valid loss: 1.01941, Acc: 79.2624, AUC: 0.669225.
Wed Mar  2 00:21:26 2022 Fold 2, Epoch 19, lr: 0.0000081, train loss: 0.00215, valid loss: 1.02363, Acc: 79.1078, AUC: 0.669254.
Wed Mar  2 00:28:22 2022 Fold 2, Epoch 20, lr: 0.0000020, train loss: 0.00166, valid loss: 1.04575, Acc: 79.6599, AUC: 0.668356.
Wed Mar  2 00:35:18 2022 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.41449, valid loss: 0.50328, Acc: 81.8562, AUC: 0.585492.
Wed Mar  2 00:42:15 2022 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.27251, valid loss: 0.46759, Acc: 82.5599, AUC: 0.615405.
Wed Mar  2 00:48:59 2022 Fold 3, Epoch 3, lr: 0.0002980, train loss: 0.22836, valid loss: 0.53800, Acc: 74.8186, AUC: 0.592749.
Wed Mar  2 00:55:35 2022 Fold 3, Epoch 4, lr: 0.0002919, train loss: 0.18966, valid loss: 0.52075, Acc: 75.2364, AUC: 0.642796.
Wed Mar  2 01:02:24 2022 Fold 3, Epoch 5, lr: 0.0002819, train loss: 0.14928, valid loss: 0.85861, Acc: 64.3061, AUC: 0.577102.
Wed Mar  2 01:09:16 2022 Fold 3, Epoch 6, lr: 0.0002684, train loss: 0.11506, valid loss: 0.71119, Acc: 71.3218, AUC: 0.569518.
Wed Mar  2 01:16:16 2022 Fold 3, Epoch 7, lr: 0.0002516, train loss: 0.08073, valid loss: 0.71402, Acc: 73.6969, AUC: 0.614668.
Wed Mar  2 01:23:12 2022 Fold 3, Epoch 8, lr: 0.0002320, train loss: 0.05982, valid loss: 0.72040, Acc: 76.7099, AUC: 0.601832.
Wed Mar  2 01:29:41 2022 Fold 3, Epoch 9, lr: 0.0002103, train loss: 0.04504, valid loss: 0.83890, Acc: 72.1795, AUC: 0.592309.
Wed Mar  2 01:36:33 2022 Fold 3, Epoch 10, lr: 0.0001868, train loss: 0.02941, valid loss: 0.83507, Acc: 73.0152, AUC: 0.620878.
Wed Mar  2 01:43:31 2022 Fold 3, Epoch 11, lr: 0.0001624, train loss: 0.02306, valid loss: 0.87692, Acc: 76.9518, AUC: 0.617757.
Wed Mar  2 01:50:30 2022 Fold 3, Epoch 12, lr: 0.0001376, train loss: 0.01625, valid loss: 0.87587, Acc: 78.4033, AUC: 0.615822.
Wed Mar  2 01:57:29 2022 Fold 3, Epoch 13, lr: 0.0001132, train loss: 0.00991, valid loss: 1.03133, Acc: 78.1614, AUC: 0.600835.
Wed Mar  2 02:04:11 2022 Fold 3, Epoch 14, lr: 0.0000897, train loss: 0.00674, valid loss: 1.01727, Acc: 78.7332, AUC: 0.624702.
Wed Mar  2 02:10:50 2022 Fold 3, Epoch 15, lr: 0.0000680, train loss: 0.00444, valid loss: 1.02203, Acc: 79.4370, AUC: 0.620490.
Wed Mar  2 02:17:39 2022 Fold 3, Epoch 16, lr: 0.0000484, train loss: 0.00270, valid loss: 1.09265, Acc: 78.7332, AUC: 0.621618.
Wed Mar  2 02:24:34 2022 Fold 3, Epoch 17, lr: 0.0000316, train loss: 0.00258, valid loss: 1.09423, Acc: 78.4693, AUC: 0.614939.
Wed Mar  2 02:31:32 2022 Fold 3, Epoch 18, lr: 0.0000181, train loss: 0.00191, valid loss: 1.09813, Acc: 79.1511, AUC: 0.620811.
Wed Mar  2 02:38:12 2022 Fold 3, Epoch 19, lr: 0.0000081, train loss: 0.00141, valid loss: 1.07631, Acc: 78.5793, AUC: 0.623699.
Wed Mar  2 02:44:44 2022 Fold 3, Epoch 20, lr: 0.0000020, train loss: 0.00179, valid loss: 1.03923, Acc: 77.5896, AUC: 0.623914.
