Mon Feb 21 07:48:55 2022 Fold 1, Epoch 19, lr: 0.0000081, train loss: 0.00088, valid loss: 1.17008, Acc: 80.8463, AUC: 0.699130.
Mon Feb 21 07:55:42 2022 Fold 1, Epoch 20, lr: 0.0000020, train loss: 0.00071, valid loss: 1.18983, Acc: 80.7127, AUC: 0.710033.
Mon Feb 21 08:02:04 2022 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.49106, valid loss: 0.47707, Acc: 81.9788, AUC: 0.682407.
Mon Feb 21 08:08:40 2022 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.45718, valid loss: 0.45309, Acc: 81.9788, AUC: 0.717696.
Mon Feb 21 08:15:05 2022 Fold 2, Epoch 3, lr: 0.0002980, train loss: 0.40673, valid loss: 0.45831, Acc: 82.1555, AUC: 0.705792.
Mon Feb 21 08:21:37 2022 Fold 2, Epoch 4, lr: 0.0002919, train loss: 0.34407, valid loss: 0.47594, Acc: 82.0671, AUC: 0.709872.
Mon Feb 21 08:28:20 2022 Fold 2, Epoch 5, lr: 0.0002819, train loss: 0.26483, valid loss: 0.57730, Acc: 82.7076, AUC: 0.747138.
Mon Feb 21 08:34:44 2022 Fold 2, Epoch 6, lr: 0.0002684, train loss: 0.20950, valid loss: 0.59230, Acc: 82.7076, AUC: 0.721680.
Mon Feb 21 08:41:29 2022 Fold 2, Epoch 7, lr: 0.0002516, train loss: 0.15283, valid loss: 0.68389, Acc: 82.0230, AUC: 0.687337.
Mon Feb 21 08:48:01 2022 Fold 2, Epoch 8, lr: 0.0002320, train loss: 0.10364, valid loss: 0.76226, Acc: 82.6855, AUC: 0.689496.
Mon Feb 21 08:54:43 2022 Fold 2, Epoch 9, lr: 0.0002103, train loss: 0.07093, valid loss: 0.84083, Acc: 82.9284, AUC: 0.726715.
Mon Feb 21 09:01:15 2022 Fold 2, Epoch 10, lr: 0.0001868, train loss: 0.05655, valid loss: 1.00263, Acc: 83.3260, AUC: 0.722314.
Mon Feb 21 09:07:57 2022 Fold 2, Epoch 11, lr: 0.0001624, train loss: 0.03801, valid loss: 0.90771, Acc: 82.5751, AUC: 0.744387.
Mon Feb 21 09:14:29 2022 Fold 2, Epoch 12, lr: 0.0001376, train loss: 0.02441, valid loss: 1.10942, Acc: 82.1334, AUC: 0.704368.
Mon Feb 21 09:21:12 2022 Fold 2, Epoch 13, lr: 0.0001132, train loss: 0.01770, valid loss: 1.09755, Acc: 82.7518, AUC: 0.720001.
Mon Feb 21 09:27:36 2022 Fold 2, Epoch 14, lr: 0.0000897, train loss: 0.01098, valid loss: 1.08182, Acc: 83.3701, AUC: 0.725220.
