Wed Feb 23 06:41:42 2022 Fold 1, Epoch 19, lr: 0.0000081, train loss: 0.00211, valid loss: 1.39523, Acc: 81.4590, AUC: 0.612144.
Wed Feb 23 06:50:32 2022 Fold 1, Epoch 20, lr: 0.0000020, train loss: 0.00170, valid loss: 1.37473, Acc: 81.2500, AUC: 0.612357.
Wed Feb 23 06:59:42 2022 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.49118, valid loss: 0.45770, Acc: 83.5223, AUC: 0.573944.
Wed Feb 23 07:08:37 2022 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.46647, valid loss: 0.46471, Acc: 83.4845, AUC: 0.580780.
Wed Feb 23 07:17:42 2022 Fold 2, Epoch 3, lr: 0.0002980, train loss: 0.42622, valid loss: 0.44258, Acc: 83.9380, AUC: 0.633856.
Wed Feb 23 07:26:17 2022 Fold 2, Epoch 4, lr: 0.0002919, train loss: 0.37430, valid loss: 0.44906, Acc: 83.3333, AUC: 0.628958.
Wed Feb 23 07:34:48 2022 Fold 2, Epoch 5, lr: 0.0002819, train loss: 0.31933, valid loss: 0.48186, Acc: 82.4830, AUC: 0.610791.
Wed Feb 23 07:43:29 2022 Fold 2, Epoch 6, lr: 0.0002684, train loss: 0.25948, valid loss: 0.55371, Acc: 82.6153, AUC: 0.585905.
Wed Feb 23 07:52:15 2022 Fold 2, Epoch 7, lr: 0.0002516, train loss: 0.21227, valid loss: 0.64543, Acc: 81.8594, AUC: 0.603110.
Wed Feb 23 08:00:58 2022 Fold 2, Epoch 8, lr: 0.0002320, train loss: 0.16565, valid loss: 0.63192, Acc: 83.1255, AUC: 0.579085.
Wed Feb 23 08:09:21 2022 Fold 2, Epoch 9, lr: 0.0002103, train loss: 0.13140, valid loss: 0.83633, Acc: 82.7098, AUC: 0.576823.
Wed Feb 23 08:18:11 2022 Fold 2, Epoch 10, lr: 0.0001868, train loss: 0.10230, valid loss: 0.81976, Acc: 81.0469, AUC: 0.585646.
Wed Feb 23 08:27:11 2022 Fold 2, Epoch 11, lr: 0.0001624, train loss: 0.07695, valid loss: 0.87593, Acc: 81.4626, AUC: 0.591482.
Wed Feb 23 08:36:01 2022 Fold 2, Epoch 12, lr: 0.0001376, train loss: 0.04988, valid loss: 0.89501, Acc: 82.5964, AUC: 0.614787.
Wed Feb 23 08:44:33 2022 Fold 2, Epoch 13, lr: 0.0001132, train loss: 0.03811, valid loss: 1.02536, Acc: 82.0862, AUC: 0.598746.
Wed Feb 23 08:52:44 2022 Fold 2, Epoch 14, lr: 0.0000897, train loss: 0.02319, valid loss: 1.10679, Acc: 82.4074, AUC: 0.594635.
Wed Feb 23 09:01:44 2022 Fold 2, Epoch 15, lr: 0.0000680, train loss: 0.01713, valid loss: 1.17608, Acc: 82.1429, AUC: 0.591559.
Wed Feb 23 09:10:38 2022 Fold 2, Epoch 16, lr: 0.0000484, train loss: 0.00869, valid loss: 1.17503, Acc: 82.3129, AUC: 0.595646.
Wed Feb 23 09:19:17 2022 Fold 2, Epoch 17, lr: 0.0000316, train loss: 0.00490, valid loss: 1.10491, Acc: 81.8594, AUC: 0.604775.
Wed Feb 23 09:27:47 2022 Fold 2, Epoch 18, lr: 0.0000181, train loss: 0.00362, valid loss: 1.13054, Acc: 80.3855, AUC: 0.598107.
Wed Feb 23 09:36:00 2022 Fold 2, Epoch 19, lr: 0.0000081, train loss: 0.00302, valid loss: 1.14480, Acc: 81.5571, AUC: 0.601763.
Wed Feb 23 09:44:48 2022 Fold 2, Epoch 20, lr: 0.0000020, train loss: 0.00159, valid loss: 1.18667, Acc: 81.5571, AUC: 0.603357.
Wed Feb 23 09:53:54 2022 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.48092, valid loss: 0.49495, Acc: 80.6904, AUC: 0.557347.
Wed Feb 23 10:02:47 2022 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.45308, valid loss: 0.48347, Acc: 80.7284, AUC: 0.608402.
Wed Feb 23 10:11:35 2022 Fold 3, Epoch 3, lr: 0.0002980, train loss: 0.41142, valid loss: 0.50164, Acc: 80.7094, AUC: 0.603027.
Wed Feb 23 10:20:27 2022 Fold 3, Epoch 4, lr: 0.0002919, train loss: 0.36258, valid loss: 0.51606, Acc: 80.7094, AUC: 0.599976.
Wed Feb 23 10:29:36 2022 Fold 3, Epoch 5, lr: 0.0002819, train loss: 0.31371, valid loss: 0.60814, Acc: 80.7663, AUC: 0.605601.
Wed Feb 23 10:38:32 2022 Fold 3, Epoch 6, lr: 0.0002684, train loss: 0.25358, valid loss: 0.60409, Acc: 79.4196, AUC: 0.611527.
Wed Feb 23 10:47:32 2022 Fold 3, Epoch 7, lr: 0.0002516, train loss: 0.19943, valid loss: 0.81851, Acc: 79.9317, AUC: 0.590982.
Wed Feb 23 10:56:07 2022 Fold 3, Epoch 8, lr: 0.0002320, train loss: 0.16158, valid loss: 0.69328, Acc: 80.1214, AUC: 0.613494.
Wed Feb 23 11:04:48 2022 Fold 3, Epoch 9, lr: 0.0002103, train loss: 0.12092, valid loss: 0.88687, Acc: 80.8422, AUC: 0.598984.
Wed Feb 23 11:13:26 2022 Fold 3, Epoch 10, lr: 0.0001868, train loss: 0.09813, valid loss: 0.76386, Acc: 79.2299, AUC: 0.609411.
Wed Feb 23 11:22:16 2022 Fold 3, Epoch 11, lr: 0.0001624, train loss: 0.06696, valid loss: 0.94547, Acc: 80.2352, AUC: 0.597765.
Wed Feb 23 11:30:53 2022 Fold 3, Epoch 12, lr: 0.0001376, train loss: 0.05365, valid loss: 1.04128, Acc: 80.9370, AUC: 0.616600.
Wed Feb 23 11:38:59 2022 Fold 3, Epoch 13, lr: 0.0001132, train loss: 0.03416, valid loss: 0.98361, Acc: 79.4765, AUC: 0.625886.
Wed Feb 23 11:47:47 2022 Fold 3, Epoch 14, lr: 0.0000897, train loss: 0.02263, valid loss: 1.05269, Acc: 80.0645, AUC: 0.617465.
Wed Feb 23 11:56:51 2022 Fold 3, Epoch 15, lr: 0.0000680, train loss: 0.01270, valid loss: 1.20217, Acc: 80.6525, AUC: 0.611885.
Wed Feb 23 12:05:53 2022 Fold 3, Epoch 16, lr: 0.0000484, train loss: 0.00779, valid loss: 1.14578, Acc: 79.1161, AUC: 0.600604.
Wed Feb 23 12:14:26 2022 Fold 3, Epoch 17, lr: 0.0000316, train loss: 0.00437, valid loss: 1.26615, Acc: 80.1783, AUC: 0.609909.
Wed Feb 23 12:22:44 2022 Fold 3, Epoch 18, lr: 0.0000181, train loss: 0.00352, valid loss: 1.31956, Acc: 79.7610, AUC: 0.607069.
Wed Feb 23 12:31:44 2022 Fold 3, Epoch 19, lr: 0.0000081, train loss: 0.00288, valid loss: 1.36273, Acc: 79.9127, AUC: 0.609686.
Wed Feb 23 12:40:47 2022 Fold 3, Epoch 20, lr: 0.0000020, train loss: 0.00148, valid loss: 1.25681, Acc: 79.8938, AUC: 0.609639.
